"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01005207",4553,39.83,0.28,0.17,32.06,1.06,1.09,21.9,44.4,0.42,0.22
"E01005208",8929,28.47,0.18,0.1,16.52,1.06,1.01,26,30.74,0.32,0.47
"E01005209",3281,44.58,0.2,0.14,20.95,1.98,1.24,45.16,47.05,0.41,0.62
"E01005210",7492,31.58,0.14,0.08,40.27,1.33,0.54,31.62,49.96,0.45,0.69
"E01005212",8747,28.89,0.17,0.11,14.85,1.51,0.66,28.1,27.41,0.44,0.71
"E01005213",1563,54.28,0.36,0.26,32.5,2.18,1.02,26.04,30.33,0.56,0.65
"E01005214",10849,25.02,0.15,0.1,7.27,1.05,0.93,19.44,39.24,0.28,0.4
"E01005215",8085,30.33,0.22,0.15,21.07,0.87,0.68,21.53,31.13,0.25,0.29
"E01005216",9603,27.21,0.16,0.12,11.51,0.88,1.21,12.48,42.13,0.21,0.18
"E01005217",12918,21.73,0.16,0.1,7.46,0.58,0.82,15.38,32.13,0.2,0.2
"E01005218",8900,28.54,0.15,0.1,14.22,1.19,1.16,20.26,39.76,0.1,0.34
"E01005219",3144,45.22,0.24,0.2,19.18,1.59,1.34,24.4,62.17,0.27,0.42
"E01005220",4557,39.82,0.23,0.17,31.35,1.23,1.36,20.34,47.38,0.28,0.33
"E01005221",6379,34.39,0.17,0.13,16.83,1.07,1.42,23.11,53.96,0.17,0.35
"E01005222",3300,44.53,0.28,0.2,28.73,2.05,1.11,19.72,33.85,0.31,0.49
"E01005223",2452,48.8,0.28,0.25,37.42,1.57,1.77,18.07,28.73,0.46,0.27
"E01005224",2872,46.56,0.3,0.2,30.74,1.23,1.99,24.01,35.54,0.41,0.22
"E01005225",2648,47.72,0.31,0.26,41.74,1.53,0.63,19.77,37.57,0.42,0.33
"E01005226",4010,41.66,0.29,0.22,26.18,1.08,0.93,18.7,46.24,0.45,0.19
"E01005227",1658,53.57,0.36,0.28,47.38,1.25,1.01,24.5,39.24,0.47,0.28
